rotation_x,rotation_y,rotation_z,acceleration_x,acceleration_y,acceleration_z
0.0695045,-0.0451294,0.0309345,-0.00807258,0.0246988,-0.0428865
0.118532,-0.27586,0.0539848,0.0262562,-0.0492633,-0.00506926
0.300385,0.0649181,0.143272,0.0210563,-0.00981548,0.0258775
0.0556266,-0.071828,0.0289196,-0.000677984,0.0369675,-0.0155702
-0.0436084,-0.135877,0.0107992,-0.0111333,0.00250041,0.0405666
-0.0279733,-0.0644314,-0.0537127,0.0128364,0.0133182,0.00659955
-0.0004043,-0.0783756,-0.0748888,0.0280729,-0.00150892,-0.0157573
0.0271575,-0.00474461,-0.105177,0.0113892,-0.0252068,0.00881529
0.0407861,0.060331,-0.148287,-0.0367621,-0.019735,0.0311105
0.0214969,0.0581773,-0.166509,-0.0130165,0.0117959,-0.0150665
-0.0528012,-0.0794585,-0.106064,0.029154,-0.00554246,-0.00851315
0.0325238,0.0219653,-0.101059,0.0205838,-0.00552005,0.00163788
0.00937421,-0.00783827,-0.0496647,0.0510571,-0.0124276,0.0142059
-0.00513689,0.051034,0.0129368,0.0261356,-0.0161633,0.019039
0.0101247,0.0746197,0.068401,0.00192411,0.000368953,0.00302052
0.00577679,0.0692577,0.0545296,0.0150887,0.00605068,-0.00139374
-0.0101045,0.0425985,0.0738748,0.00405761,-5.16176e-05,-0.007734
-0.0260715,0.0233905,0.0782132,0.0209363,0.00967592,-0.00979489
-0.0443224,0.0436571,0.0534387,0.0162048,-0.0127622,0.027463
-0.0208807,0.120538,0.0466171,0.00615578,-0.00441796,0.00568837
-0.093056,0.0811565,0.0968207,0.0154658,-0.0108293,0.0108845
-0.0503831,0.0950239,0.10437,-0.00397601,-0.0113,-0.00787222
-0.0377545,0.0607919,0.0811319,-0.00715865,0.00309506,-0.0179202
-0.0134288,0.00411373,0.0559494,-0.00293469,0.0105676,-0.0136768
-0.00177637,0.0468079,0.0407551,-0.000599314,-0.00545597,0.0129818
-0.0261147,0.0650319,0.0672575,0.0159285,0.0120841,-0.009238
0.0215004,0.0360605,0.0142035,0.00650132,0.00650632,-0.0300316
0.00885626,-0.0119501,0.0422469,0.0123326,-0.00725433,-0.0144315
0.0214977,-0.0205462,0.018844,0.00968571,0.00512928,-0.00199717
0.018276,0.00615025,0.0122473,0.00511656,0.0092881,0.00666523
0.0289329,0.00934719,0.0122658,0.00889622,0.0131927,-0.01279
0.0203959,-0.00346696,0.0112492,0.00211546,-0.008735,-0.00811118
-0.0179088,-0.00983094,0.0207638,0.00834929,-0.00464311,0.00446939
0.0151097,0.0285907,0.0152945,0.00539811,0.00594237,0.00257462
0.00545617,0.0157621,0.0057269,0.00429376,-0.00361225,-0.00474173
0.00435011,-0.00133723,0.000490816,0.00794876,-0.00502202,-0.000679493
0.00650884,0.00294154,0.00474466,0.007647,-0.0134682,0.00657344
-0.00305472,0.00402376,0.00897696,0.00645795,-0.00224751,0.00478995
-0.00627154,0.0147006,0.00462199,-0.000592662,-0.00192317,0.00406897
-0.0223287,-0.00560064,-0.00599335,0.00538759,0.00167361,-0.00165731
-0.0105519,0.016835,0.00138583,0.00668209,0.00343254,-0.00217849
-0.00631003,0.0018737,-0.000638839,0.00856816,-0.00412846,-0.00579023
-0.00949845,0.00508156,0.000398957,0.00537127,-0.00675154,0.0012762
0.000148131,0.00402393,0.0100559,0.0069839,0.000525206,-0.00339198
-0.0180323,-0.00132276,-0.000660582,0.0101591,-0.00106645,0.00696158
0.0246011,-0.00241914,0.00164296,0.00864353,-0.00333592,-0.00652426
0.0150922,-0.00666005,0.0155237,0.000615075,-0.000223488,-0.0104764
0.0108088,0.00188107,0.0111789,-0.00224409,-0.00406179,-0.00172168
0.00220894,0.00400152,-0.00168852,0.00283601,0.000231713,0.00395805
-0.0149071,-0.00348245,-0.012387,0.00113388,-0.00415042,-0.00208241
-0.0138438,-0.00775541,-0.0123566,0.00231597,-0.00390598,-0.00217378
-0.00317729,-0.0109642,-0.0101591,0.00526978,-0.00403795,-0.00154042
0.0203177,0.00612233,-0.00270264,0.0100286,0.0019331,-0.00158995
0.0054629,0.0296497,0.00563469,0.00257645,-0.00384304,0.00513637
-0.0507303,0.0137514,0.0536109,-0.00200272,-0.0240522,0.00675356
0.119116,0.0746278,0.120094,-0.101173,-0.0423447,-0.0558687
0.26562,0.0996815,-0.149837,-0.11175,0.0360033,-0.0493212
0.41148,0.186805,-0.354998,-0.0876061,0.0637532,-0.00165725
0.522885,0.360673,-0.449732,-0.0781062,0.02463,0.0356244
0.934342,0.677308,-0.627607,-0.00179099,0.127044,0.075525
0.383408,0.270026,-0.424024,0.0694129,0.00637645,-0.0458044
0.135552,-0.0447389,-0.327819,0.0653687,0.0135965,-0.0266191
-0.0709739,-0.232504,-0.280362,0.0461898,0.023552,0.0382996
-0.0568769,-0.189722,-0.24319,0.0577274,-0.0249128,0.0112637
0.0246877,-0.12019,-0.151449,0.0539123,-0.02825,0.00268584
0.0867323,-0.118028,-0.110631,0.0633959,-0.0147476,0.0100563
0.0679692,-0.0773063,-0.0447233,0.0585636,-0.0200075,0.0255494
0.10008,-0.00466285,-0.0269074,0.0216129,-0.00984347,0.0158182
0.00995621,0.00621691,0.0464048,0.0173542,0.0032357,0.0165329
-0.0391594,0.00836,0.0291123,0.0235028,0.000966311,0.0035612
0.00563559,0.00406646,0.0367876,-0.00144687,-0.0147444,-0.00059104
0.0524627,0.00614989,0.0273355,-0.00547957,0.00742686,0.00411206
0.0244872,-0.0131328,-0.0164515,-0.0137575,0.0107402,0.0116319
-0.0362968,-0.0205764,-0.0241128,-0.00346744,0.00420696,0.0094049
-0.0117555,-0.00349652,-0.0198571,0.00664398,-0.00338978,-0.00508571
-0.0255018,-0.00986387,-0.00170313,-0.00469118,-0.00140488,-0.00746065
0.00635869,-0.0291437,-0.0174847,0.0127642,0.00293207,-0.0245717
0.0160428,-0.0579607,0.000902503,0.0150961,-0.0273712,0.018752
0.0164301,0.0137103,0.059205,0.00661477,0.00358933,0.0149143
0.0129783,0.0403398,0.0141436,-0.00679412,0.0123911,-0.00387317
-0.0263933,-0.0322407,0.0294228,0.00629139,0.0144926,-0.0174553
0.00439378,-0.04191,0.0114385,0.00809559,-0.00748235,-0.00505096
0.00449725,-0.0141115,0.0262185,-0.00378877,-0.00919592,0.0137833
-0.0231668,0.00194245,0.031351,0.00192142,0.00721645,0.00109708
0.132247,0.0391613,0.00284551,0.0247673,0.0145393,-0.0332086
-0.0796984,-0.102701,0.0307505,-0.00322178,-0.0344802,0.00296795
-0.0404548,-0.068606,-0.00244498,-0.00710152,0.0165671,0.0222226
-0.0980547,-0.0247911,-0.0168348,0.00144556,-0.000735462,0.0259843
-0.0680304,0.0350526,0.00959961,0.0107102,-0.00799972,0.00310445
-0.00621647,0.0232627,0.0131107,0.0170751,-0.0098421,-0.0228442
-0.0306445,-0.0108749,0.0292712,0.000591964,-0.0130682,0.00490451
-0.00400482,0.0179436,0.0270451,-0.00593884,0.000900388,0.00666475
-0.00208241,0.00933601,-0.00708066,-0.00592399,0.0119509,-0.00359577
-0.0659749,-0.0141012,0.00137919,0.00967862,-0.00930905,0.0191067
-0.376754,-0.0554173,0.0635215,0.0293556,0.0114846,0.0614828
-0.985034,-0.189493,0.0963022,0.0743914,0.0405255,0.104368
-1.27594,0.0459997,0.249681,0.026667,0.0491984,0.219683
-1.72768,0.712362,0.551382,0.0167765,0.0921524,0.2738
-2.18622,1.21596,0.623327,0.0667781,0.102366,0.0842284
-3.81402,1.65566,1.52363,0.0434954,0.0635538,0.0545192
-4.41569,1.59489,1.94274,0.236789,-0.00389445,0.242681
-1.81523,2.44371,1.61362,0.32108,0.107305,-0.100636
-1.19685,1.15637,1.79416,0.158993,0.0956039,-0.112143
-3.16044,0.326785,1.1789,0.0990272,0.267666,-0.143043
-1.74551,-0.191414,0.501615,0.00164425,0.446762,-0.122604
-0.585903,-0.284844,-0.502053,-0.0281425,0.324205,-0.0783547
-0.40822,-0.259288,-1.08172,0.00522065,0.158291,-0.0176443
0.0784916,-0.105925,-1.13324,0.0446473,0.021844,0.00459713
0.620736,0.0619425,-0.808565,0.0396599,-0.116342,0.019546
0.507948,0.100389,-0.251506,0.0359811,-0.189151,0.0375198
0.0720184,0.116566,0.258544,0.0462465,-0.169008,0.0536838
-0.0349022,0.180176,0.547281,0.0326871,-0.0971478,0.0321608
-0.0359078,0.19439,0.734164,0.0184025,-0.00839621,-0.0100514
-0.0353339,0.131232,0.657647,0.0279407,0.132041,-0.0712199
0.0192675,0.055881,0.351695,0.04404,0.116791,-0.0194528
-0.0471904,-0.268425,-0.0417752,0.0577425,0.142986,-0.0304929
-0.176304,-0.359032,-0.599401,-0.0270116,0.0468799,0.000372231
-0.216102,-0.443173,-0.476135,-0.0151446,-0.0431089,0.0481611
-0.172875,-0.220566,-0.216713,0.00345981,-0.0504511,0.0766437
-0.0726121,0.0093297,-0.0415364,0.0259625,-0.0905397,0.0554725
-0.0415811,0.110363,0.327609,-0.0395757,-0.0899515,0.0165948
-0.399877,0.098358,0.637262,-0.0373466,-0.0224954,0.0133398
-0.309054,-0.172162,0.526102,-0.00418997,0.0786251,0.033467
-0.78767,-0.090244,0.128453,-0.023844,0.172041,-0.0485787
0.121357,0.0305571,-0.0356047,-0.0142649,0.192415,0.0136895
-0.229986,0.168057,-0.358347,0.0266981,0.124485,0.0246626
0.460357,-0.0424548,-0.713395,0.0128272,-0.00940537,0.0934232
0.0467286,-0.054708,-0.569557,0.0283066,-0.0096989,-0.0314254
0.137382,-0.227151,-0.183458,0.0116696,-0.110229,-0.0413153
0.12307,-0.209563,0.0941717,0.0379215,-0.0845074,-0.0501416
-0.655445,-0.216031,0.334905,0.00246108,-0.0815542,-0.0189821
0.792627,0.503058,0.456399,-0.000107408,0.0335616,0.00138426
0.357928,0.515143,0.460035,-0.0506359,0.0648615,-0.0059551
-0.016988,-0.0725761,0.180372,0.0140883,0.0400746,0.0376949
-0.973479,0.0273943,-0.485227,0.0133218,0.149582,-0.065757
0.189328,-0.170661,-0.232779,-0.0126671,-0.0914464,-0.0486832
0.160821,-0.0658956,-0.198305,0.030014,-0.0401113,-0.0488743
-0.0913732,-0.0965814,-0.140285,0.0137032,-0.0368825,-0.00398606
-0.109638,-0.159314,0.0181829,-0.00700861,-0.0324778,0.00896883
-0.029676,-0.3719,0.0455043,-0.010159,-0.0234042,0.0213053
-0.289359,-0.115286,0.0727837,0.0230615,0.00223511,0.00701523
-0.0717146,0.143096,0.096498,-0.0260358,0.0165455,-0.017468
0.0203229,-0.412992,0.392134,-0.122821,-0.0423878,-0.0432224
0.0573818,-0.213676,0.15699,-0.110612,-0.00936612,-0.0375193
-0.0250634,-0.297039,0.097391,-0.182503,-0.0253462,-0.009884
0.0633879,-0.0418404,0.0768349,-0.0994423,0.0203268,-0.00684798
0.0564855,0.116086,-0.0225129,-0.0274565,0.0354159,-0.00484699
0.107909,0.173803,0.0189749,-0.00465786,0.0202809,-0.00758088
0.0487152,0.132021,-0.0760675,0.0141681,-0.00827593,0.00751841
0.050808,0.0551091,-0.0755601,-0.000679731,-0.0211809,-0.0157264
-0.0363819,-0.0633238,-0.0345183,0.00101632,-0.00882134,-0.00181293
-0.00286307,-0.0215527,0.0433327,-0.0103324,-0.0158805,0.0244184
-0.0303148,0.0223301,0.0814116,0.000891089,0.0110572,0.00427055
-0.0790711,0.107574,-0.0614276,-0.0100368,-0.00382593,9.26256e-05
-0.0333725,0.0220608,-0.0735218,0.0089758,-0.00143579,-0.020184
-0.042317,-0.0773828,-0.134881,-0.00690323,0.00805879,-0.0254015
-0.0248024,-0.125632,-0.230665,0.00922757,1.38879e-05,0.00232786
0.061776,-0.0996739,-0.00933885,-0.00040859,-0.00855765,0.0212732
-0.0900244,0.00634226,0.0759503,0.000505924,-0.0113122,-0.00418204
-0.0529013,-0.373957,0.08176,0.022177,-0.013991,-0.0256389
-0.0420894,-0.149631,0.087825,-0.0279306,0.037871,-0.0379239
-0.0083832,0.0403395,0.00551894,-0.0132279,0.0423877,0.0123366
-0.0939527,0.217603,-0.0654006,-0.0151793,0.0346262,-0.0210005
-0.011155,0.0882158,-0.10592,-0.00231171,0.00994971,0.0124673
0.0757196,0.084045,-0.0104776,0.00945187,0.00886932,-0.00556886
0.115032,0.034096,0.153467,0.0120863,-0.0305523,-0.0105711
-0.0264348,-0.0269155,0.0219148,0.00456041,-0.0241212,-0.0103059
0.0739375,-0.100623,0.0644378,0.0187968,0.0145015,0.00693583
-0.0271559,0.0233842,0.0750071,-0.0106162,0.00771281,0.0146443
0.0054948,-0.0226776,0.0155955,-0.0104085,0.0104031,0.0207578
-0.0433885,0.0735207,0.028679,-0.00959814,-0.00159961,0.00215095
0.00479695,0.150452,0.061484,-0.000176311,0.00664267,-0.0105133
-0.0122496,-0.0887742,0.0832691,0.0237066,-0.0125103,0.00537258
0.0165353,-0.147534,0.0912385,-0.0141484,-0.0289898,-0.032154
0.0236999,0.0446216,0.0248438,-0.0110437,0.037112,-0.0155129
-0.0949143,0.0926725,-0.0368128,0.000129819,0.0123354,0.0159568
0.0178369,0.0733072,-0.0672521,-0.0127906,4.72665e-05,0.0121545
0.0397502,0.0293656,-0.140607,0.0139544,0.00699326,-0.0134237
0.0567267,0.073432,0.0215764,0.00760543,-0.0180255,0.000613332
-0.013258,-0.0513765,0.0894358,0.00953412,-0.0132077,-0.00732905
-0.0664941,-0.00860282,0.0921637,-0.00540555,0.000489801,-0.00263888
