rotation_x,rotation_y,rotation_z,acceleration_x,acceleration_y,acceleration_z
-0.0317384,-0.0539006,0.027435,0.00796849,0.00235957,-0.00948465
-0.0254704,-0.0614183,0.0072071,-0.00437616,0.00837994,-0.00883168
0.0235195,-0.0208764,-0.000352341,-0.00255896,0.00452,-0.012243
-0.0243478,-0.0240216,0.0133805,0.0156338,0.00711602,-0.00406587
-0.0900428,-0.0804701,0.0797429,0.0107533,-0.00125444,-0.0126216
-0.3379,-0.269962,0.34288,0.0509077,0.0136276,0.032481
-1.60025,-0.646836,1.13553,0.167135,0.0623689,0.236658
-1.34523,-0.23466,1.15838,-0.0649254,0.14836,0.16495
-0.824814,0.362558,0.824169,0.0479405,0.182865,-0.155859
-2.19955,-0.609454,0.873407,0.0492401,0.166812,0.00123459
-2.07598,-0.109715,0.822547,-0.10655,-0.0365434,0.0245815
-0.741454,0.594154,0.132763,-0.0912823,-0.0224,-0.0046612
0.0230997,0.598464,-0.126173,-0.231794,-0.0595739,-0.00228775
-0.554257,0.567525,0.257577,0.0148298,0.047049,-0.197394
0.118037,-0.0459163,-0.228483,-0.0329289,0.0367164,-0.00571084
-2.08647,-0.106944,-0.0408159,-0.00944871,-0.156876,0.172261
-1.59213,0.254731,-0.0819103,-0.0266314,0.0311376,0.00764561
-0.519674,0.243402,0.0119284,0.032559,0.0551987,-0.0327168
-0.255562,0.0402363,0.00782345,-0.014495,0.00407922,-0.0176466
0.324684,-0.836128,0.0103378,0.0401119,-0.012926,-0.0537885
1.14398,-2.95954,1.07853,0.140213,-0.243131,-0.231448
0.770507,-1.94385,1.43061,0.139491,-0.0678324,-0.0271484
-1.92423,-0.248542,0.91056,0.0100027,-0.100669,0.395055
-2.79917,0.10893,0.317321,-0.0382205,0.182863,0.238423
-0.188048,0.321504,0.225285,-0.068204,-0.0607504,0.0613146
0.415327,0.101875,0.116782,-0.0164608,-0.0440632,-0.0626479
0.194507,0.630333,-0.152447,0.0416,-0.152995,-0.159636
0.261592,0.650252,-0.339304,0.00248656,0.118573,0.0840647
-0.132564,0.922745,-1.06268,-0.141658,0.107419,0.131232
0.0535327,1.296,-1.33579,-0.0640501,0.105316,0.122652
-0.47295,0.163351,-0.541902,0.164547,-0.284888,-0.099086
-1.12876,-0.923837,0.537554,0.107691,-0.225192,0.0127859
-1.00859,0.527646,1.07991,-0.0427203,0.131895,0.0725167
-2.5619,1.11902,0.170627,-0.12996,0.194608,0.228154
0.768612,1.07766,-0.0484901,0.0514109,0.0342468,-0.181176
0.712045,0.364224,-0.000268432,0.134166,-0.0110958,-0.18369
0.252885,-0.108548,0.0544998,-0.0157088,-0.0605805,0.00223994
0.211826,-0.00615131,-0.0499585,0.0114374,0.0714055,0.0621217
0.132907,-0.00504512,-0.0620128,-0.00193238,-0.0201003,0.00781292
-0.0512624,-0.0144701,-0.0337935,0.00455642,-0.0119826,-0.00369918
0.0384345,-0.0134133,-0.00141059,0.00152677,-6.65784e-05,0.00249845
-0.00300085,-0.0154832,0.0187483,0.00201395,0.00194353,-0.00374818
-0.021069,-0.0133207,0.0261468,-0.000246122,-0.00432026,0.00500655
-0.0317984,-0.00799359,0.0132497,-0.00421204,0.00731182,0.0084309
-0.00518633,-0.0219052,0.0102331,0.00194685,-0.00610447,-0.00657135
-0.00196413,-0.00908389,0.0133679,0.0100658,-0.00253183,0.00665462
-0.00093476,-0.00482341,0.00693409,-0.00104097,0.000671089,0.000511646
