rotation_x,rotation_y,rotation_z,acceleration_x,acceleration_y,acceleration_z
-0.0634414,-0.0328197,-0.0423141,0.00720541,-0.0306148,0.00281876
-0.0290455,0.00248651,0.00459878,-0.00416803,-0.0206325,0.0141564
-0.000268168,-0.00714503,0.00690578,0.00102318,-0.00919545,-0.000341296
-0.00452445,0.00460838,0.00681345,-0.0035822,-0.00207308,0.00774562
0.0156797,-0.000759262,0.000513871,0.00526305,0.00286192,-0.000523448
-0.0290977,0.000335209,-0.00393505,-0.00188856,5.00083e-05,0.000961542
-0.0258366,0.00141943,0.00675508,-0.00183497,-0.00302106,0.00200707
-0.059867,0.00680438,0.0172777,-0.00274673,-0.0141457,-0.00547862
0.00720324,-0.00714641,0.00906962,-0.01675,0.00409487,-0.00681424
-0.0194737,0.00460954,0.00141674,-0.010966,0.00655901,-0.00896835
-0.0269176,0.00889203,0.00349714,-0.000328004,-0.00740412,0.0106406
-0.00874923,0.00248607,0.0132227,0.00256172,-0.000511736,0.0033406
-0.00243266,0.00245846,0.000426139,-0.00147223,-0.00828943,0.00289285
0.0252327,0.0024269,-0.00588161,0.00421768,-0.0041163,0.00521857
-0.01208,0.00244914,-0.00922653,0.0079706,0.00146139,-0.000461936
0.0231198,0.000297436,-0.00266981,-0.00679725,-0.00475091,-0.00657302
0.00702393,-0.00826782,-0.0208382,0.00992723,-0.0101551,0.0145423
0.00191129,0.0131606,0.0131921,0.012867,-0.00484729,0.00266409
-0.0278558,0.0206786,0.0237173,-0.00193295,-0.00586149,0.00708789
-0.0756018,0.0175694,0.0577495,0.00422467,-0.0112123,-0.0023393
-0.0485805,0.042226,0.119661,0.00991526,0.00915399,0.00950491
-0.12998,0.15996,0.21689,0.0341251,-0.0195649,0.010128
-0.0508561,0.120463,0.266592,-0.0391746,-0.00847459,-0.00309831
-0.149611,0.0715074,0.32744,4.28855e-05,-0.00893167,-0.00616312
-0.489369,0.185017,0.340391,0.0193489,0.0158452,0.0397475
0.0901553,0.233364,0.139242,-0.0370156,0.00574729,0.027732
0.203405,0.114503,0.0229085,-0.0297332,-0.0210745,-0.0263119
0.127396,-0.0361371,-0.0234113,0.0156897,-0.00298864,-0.0046888
0.10701,-0.0489791,-0.0458424,-0.00927415,-0.00135985,0.000791013
0.0131743,-0.0339769,-0.0591114,-0.00265541,0.00326887,0.0022313
-0.00993703,-0.0253191,-0.00476238,-8.64118e-05,-0.0234296,-0.011084
-0.00790085,0.00242104,-0.0230991,-0.00510611,0.0133914,-0.0139093
-0.018488,-0.0274559,-0.00905586,0.00817852,-0.00915653,-0.0181399
-0.00255051,-0.00291536,-0.018773,-0.00722554,-0.00106752,-0.0182059
-0.00366756,-0.00399842,-0.0273162,-0.019072,-0.0172324,-0.00428915
-0.00160349,0.00238797,-0.0391014,-0.0117538,0.00100628,-0.00216889
-0.0164901,-0.0125437,-0.0326509,0.0088428,-0.00364631,0.00170571
-0.0173293,-0.00713669,0.00470647,-0.00361785,0.0014379,0.0209993
-0.0350912,0.00686386,0.0622459,-0.00608502,-0.0144864,-0.00909966
-0.433424,-0.0444971,0.451072,0.0387477,-0.0897499,-0.0328436
-0.195001,-0.259559,0.963008,0.0983731,-0.0725838,-0.0272369
0.0478733,0.124288,1.27448,0.00425652,-0.0495217,0.103602
0.502774,0.400234,1.05964,-0.0281565,0.100989,0.0120437
0.065834,0.614147,1.0267,-0.00548926,0.0416831,0.0468031
-0.951502,0.514899,1.25111,0.0904845,0.117671,0.00411415
-1.86314,0.179418,0.820359,-1.40071e-05,0.0620452,-0.00223702
-0.707389,-0.107787,0.791291,0.0473349,0.0443612,0.0164111
-0.0461558,0.0156082,0.17113,0.0333571,-0.0696984,0.00981605
0.00263247,0.0841716,0.305492,-0.00366133,-0.0555969,0.00494897
-0.446913,0.115068,0.675429,0.00942835,0.003438,0.0276597
-0.836718,0.090849,0.706179,-0.00989226,-0.00267459,0.0177584
-0.376486,-0.0692802,0.353148,-0.0303491,0.00097014,-0.00326204
-0.0050106,-0.00941871,-0.0732294,0.0187943,0.0230518,0.00183362
0.162928,0.0199271,-0.322807,0.00834715,-0.0310074,0.00319254
0.0541613,0.0270168,0.0186414,-0.00435013,0.00371394,0.00739384
0.0469526,-0.0359202,0.0660366,0.0106499,0.0178674,-0.00168747
0.0231524,-0.0242583,0.00496934,-0.00752643,0.0220782,0.0108441
-0.0118978,0.00891005,0.0206498,0.00128542,-0.00366519,0.0144548
0.0276424,-0.0412832,0.0446282,-0.00240354,0.0130148,0.00146663
0.074997,0.0225891,-0.060315,-0.0134663,0.0307865,0.00225979
0.113284,0.0438996,-0.0741988,-0.00828932,0.015256,-0.0165255
0.0601749,-0.00407312,-0.0420335,0.000852257,-0.0038425,0.00560355
0.0635052,0.0333448,-0.0230316,-0.00231785,0.00687569,-0.00384402
-0.0152252,0.0280982,-0.00299136,-0.00308889,-0.00345626,0.0024578
0.236099,-0.0461374,-0.197096,0.00921433,0.0131661,0.0144123
0.352849,-0.104345,-0.446298,-0.00986405,0.0476382,-0.0262014
0.227011,-0.253495,-0.272712,0.0236129,-0.0576849,-0.0271106
-0.159262,-0.147007,-0.019492,0.00269948,-0.0492713,0.0453773
-0.22021,0.127774,0.0981642,-0.0339109,-0.0141354,0.00992996
-0.117363,0.0399683,0.0211226,0.0060643,0.0111576,-0.00479805
-0.123962,-0.19688,0.186107,0.0108984,-0.00997958,-0.0350447
-0.0394091,-0.0155788,0.0548977,-0.00144321,0.0280219,0.0397722
0.000279885,0.0183348,-0.0819358,-0.00817774,0.0210719,0.00214469
0.0372773,-0.0373174,-0.126312,0.00627765,-0.00551721,0.00290215
0.0183901,-0.0532381,-0.0760625,0.00828409,-0.00513186,-0.00753844
