rotation_x,rotation_y,rotation_z,acceleration_x,acceleration_y,acceleration_z
0.112477,-0.0577616,0.0657622,0.0119869,0.0170853,0.0209426
0.126796,-0.0556645,0.144083,0.0311558,0.0138866,-0.0422124
0.100613,-0.117419,0.275544,0.0153244,-0.000776365,0.0382165
0.27044,0.143231,0.348948,0.0932017,-0.0326888,-0.0360093
0.115655,-0.0769826,0.281027,0.0362442,-0.233102,0.0200423
0.0212362,0.00182067,0.409432,-0.0248306,-0.165024,0.0739715
0.343227,-0.00161768,0.434496,0.0118298,-0.148861,-0.0405158
0.336026,-0.0601753,0.508353,0.0358867,-0.108323,-0.0818661
0.209605,0.143207,0.582736,0.188079,0.0294747,-0.223614
-0.034679,0.149759,0.675266,0.0540886,0.00569171,-0.170002
0.153518,0.230578,0.456754,-0.0398263,0.0481811,-0.153974
0.211212,0.104953,0.329035,-0.0778943,-0.0104233,-0.0539303
-0.0305257,0.0242441,0.289975,0.0488733,0.0716434,-0.0956628
0.1281,-0.0865371,0.125918,0.0207065,0.0622509,0.0344074
0.397956,-0.0526598,0.0657659,-0.0558726,0.124813,0.142051
0.186776,-0.0408002,0.0944156,-0.0823561,0.102663,0.147157
0.272978,0.00280348,0.0161211,-0.0887019,0.0786754,0.142929
0.193241,-0.0599358,-0.00506381,-0.0499731,0.0712314,0.129453
-0.304997,-0.082988,-0.0288965,-0.0248829,0.0157916,0.180735
-0.421755,0.123612,-0.0518353,-0.0569411,-0.0424627,0.18252
-0.382201,0.151248,-0.0107281,-0.0222576,-0.0698988,0.0960103
-0.27954,-0.00852643,0.1148,0.129565,-0.161399,0.0874848
-0.954126,0.642298,0.344211,0.0880853,-0.0687317,0.107346
-2.41089,1.85247,0.862939,-0.0542005,0.016258,0.326658
-2.96761,3.6346,1.60437,-0.0448411,-0.113442,0.557483
-3.81875,4.01506,2.3021,0.466592,0.139763,0.151621
-1.24786,2.75945,1.44698,0.333078,0.343795,-0.218267
0.13608,2.33375,1.3014,0.0881346,0.389166,-0.210341
1.01138,1.17219,-0.287174,0.670062,-0.118829,-0.435928
-2.81103,-0.366116,-1.19624,-0.00423837,0.19116,-0.351489
3.22033,-0.0622637,0.377214,-0.115522,-0.359388,-0.122684
0.999987,-0.418253,0.23249,0.00053072,0.317743,-0.0397048
0.618389,-0.737183,-0.266188,-0.022005,0.196169,0.118992
0.219269,-0.649609,-0.265451,0.0239589,0.177438,0.199739
-0.320019,0.0703901,-0.365426,0.197935,0.128849,0.25587
0.719569,0.371953,-0.432105,-0.174619,0.0789746,0.0212682
1.98382,0.0687915,-0.725847,0.0661858,-0.00547008,0.130206
1.06847,-0.0496407,-1.18259,0.00214684,-0.178333,0.133115
1.0163,0.28028,-0.775563,-0.075935,-0.27923,0.0971572
0.955156,0.685724,-0.137437,-0.0662651,-0.265986,0.0544918
0.875102,0.816477,0.784486,0.386966,-0.183252,-0.00549001
0.457186,-0.149658,0.409162,-0.0181932,-0.0531611,0.00376576
