rotation_x,rotation_y,rotation_z,acceleration_x,acceleration_y,acceleration_z
0.356257,0.143636,0.0352558,-0.0742667,-0.114073,0.144626
0.118294,-0.0866731,0.174758,-0.0659373,0.163997,-0.0187665
0.266795,0.0369112,0.0516404,-4.09782e-05,0.0270703,0.0155423
0.191056,0.140854,0.205608,0.0675623,-0.0314783,0.00317687
-0.0612981,0.0570309,0.419966,0.202693,-0.0120354,0.064206
-1.47965,-0.117547,0.76517,0.373871,-0.00176847,0.245961
-4.36082,0.0533715,0.743658,0.319419,-0.0794621,0.598277
-1.50845,0.890116,1.55986,0.0175177,-0.075074,0.0623313
-2.93166,0.408084,2.01068,-0.0902913,0.273176,-0.0506016
-2.84722,0.0725562,1.37317,-0.068914,0.532587,-0.0517422
-1.68206,0.889064,2.1052,0.0943,0.423277,0.120741
-1.49539,1.03468,1.7716,-0.185329,0.0579501,0.109727
-3.30011,-1.56887,0.799817,0.650548,1.54073,-2.46768
-0.583428,0.426068,1.09408,0.365084,0.0327365,-0.0550519
-3.4822,0.592876,1.15801,0.180739,0.138537,-0.0233479
1.55792,1.11734,0.266364,0.106057,0.0238285,-0.212526
-1.70694,-0.787358,-1.19087,-0.084231,-0.317673,-0.0586492
-2.10411,-1.56758,-1.6104,0.0639596,0.0513093,0.00660813
-1.35356,-2.12923,-2.37965,-0.264839,0.123587,-0.040255
0.964181,-0.777393,-2.27823,-0.355754,0.166844,0.0264362
1.0309,-0.110618,-1.51623,-0.162392,-0.219455,0.142735
-1.60138,-0.167462,-0.342943,0.107584,-0.382774,-0.0576714
-2.38066,-0.516059,0.334864,0.0483105,-0.128471,-0.235541
-1.11128,-0.0158249,1.06292,-0.197024,-0.149796,0.0952196
-1.96421,-0.61971,0.495227,-0.0191298,0.024237,0.0842563
-1.01774,-0.485943,-0.179494,0.0111294,-0.306522,0.116058
0.920904,-0.748315,0.281423,-0.130343,-0.32472,-0.049001
2.50711,0.336138,0.484403,0.0868815,0.0910878,0.20395
0.585316,0.146702,1.27763,-0.253793,0.0321033,0.0446342
1.12861,0.577611,1.7534,-0.52198,0.382177,0.0658065
0.848224,1.55575,0.214923,-0.139806,0.597031,0.392388
2.80098,1.46139,-0.363731,0.0841347,0.243653,0.202459
2.51451,1.1626,-0.311581,0.31034,-0.0281204,0.188263
2.70393,0.616929,-0.125697,0.0552155,0.0235337,0.206848
1.8307,0.145792,-0.536197,-0.0436447,-0.0237308,0.327921
0.801079,0.27784,-0.605014,0.0381278,-0.0462853,0.179614
-1.06364,0.559676,-0.286875,0.418649,-0.338586,0.372805
-1.19264,0.744568,0.930539,0.110011,-0.326911,0.0644503
-1.83755,0.0948962,2.36833,0.145128,-0.287144,0.270286
-2.51982,0.254182,3.36481,0.152441,0.406076,0.0171826
1.58032,0.787078,2.61597,0.125066,0.815936,-0.282861
1.619,0.316671,0.574158,-0.0841832,0.745155,-0.490507
4.53788,0.600207,0.268056,-0.0565287,1.05599,-0.134526
11.1096,-0.987564,-0.182119,0.185201,0.430327,0.227438
0.163313,-1.78445,1.79716,0.223522,0.337788,-0.212446
-6.99442,-4.17295,-0.0679139,0.678787,0.830172,1.02379
-5.06987,1.39108,-4.26908,0.409723,0.139823,0.367466
-0.388978,2.49798,-1.49785,0.299405,-0.624988,0.198231
1.32988,1.60488,1.64279,0.369024,-0.733689,0.132959
0.513967,1.38988,2.95425,0.0592893,-0.0700116,-0.249541
-0.944304,-0.0959675,1.73078,0.102056,-0.00122184,-0.181628
-1.50039,-1.12146,1.48426,-0.0887615,0.449286,0.108636
