rotation_x,rotation_y,rotation_z,acceleration_x,acceleration_y,acceleration_z
-2.90679,-1.30591,1.69069,0.0854761,0.176671,0.404007
2.45017,0.584623,1.45167,0.0518047,0.280603,0.361535
2.3876,1.08456,0.209865,0.0492476,0.234279,0.167547
0.99345,1.00337,-0.395295,0.169405,0.238468,-0.231037
2.38326,-0.337427,-2.34841,-0.127398,0.215131,-0.296852
2.17301,-0.585954,-3.45236,0.134435,0.198121,-0.117847
4.54054,-0.23165,-3.84433,0.187087,0.214159,0.360073
3.38074,0.272431,-3.79958,0.269142,-0.010124,0.463779
2.49156,0.97469,-2.70697,0.421811,-0.11799,0.50982
-1.29186,-0.0200268,-0.803229,0.710671,0.0201652,-0.342464
0.0707706,-0.702512,-0.768058,-0.119825,0.190309,-0.360293
0.12298,-0.263143,-1.1639,-0.103342,0.0705687,0.00436163
-0.71237,-0.454578,-0.432831,0.200881,-0.141226,0.363548
-0.43709,-0.490633,1.05892,0.155058,-0.481903,-0.0703616
0.623832,-0.614977,0.659825,-0.187436,0.0929743,-0.0590174
1.33123,-0.716201,1.72196,0.31659,0.0466068,-0.29096
-1.90986,-1.34442,2.69901,0.826743,-0.428874,0.404759
-1.82546,-3.23658,5.57824,0.698278,0.159487,0.268298
-4.45762,-3.79617,5.74724,0.74246,0.0908387,0.876616
-0.775479,-0.722899,6.14177,0.454966,-0.104432,0.626794
-2.95653,0.516886,4.96843,0.385365,0.459633,0.583181
-0.287844,0.887137,3.44173,0.222679,0.834735,0.274431
-0.00376716,1.52464,0.999395,0.080573,0.856416,-0.265754
0.107727,0.653147,-1.30239,0.449999,0.773375,-0.310697
0.782547,0.0492533,-2.43598,-0.00526822,0.304668,-0.144282
5.70161,-0.531142,-1.73533,0.403867,0.0441902,-0.0389812
-0.46443,-0.701933,-1.8898,0.0453181,-0.28509,0.0468794
-0.104411,-1.24965,-0.970309,0.149976,-0.244497,0.31874
-1.16822,-0.711264,-0.19995,0.0555949,-0.430284,0.318693
-0.190809,0.440422,1.53461,0.256871,-0.259334,0.195143
0.782674,0.795274,2.68453,0.090372,0.055116,-0.0722465
0.812223,0.649246,1.04659,0.215405,-0.0089948,0.0386253
-2.97921,-0.244564,0.17702,-0.110542,-0.00680168,0.00284612
-1.84141,-0.138802,0.674216,-0.16571,0.387319,-0.122759
0.741014,0.490971,0.912725,-0.179617,0.382076,-0.155139
0.519794,0.321705,-0.0731831,0.221071,0.388049,-0.087173
-0.226514,-0.432566,-1.68444,0.0482012,0.23441,-0.153731
1.70841,-0.221812,-1.88798,0.212246,0.0297621,0.112575
1.08305,-0.342132,-1.32647,-0.011297,-0.256021,0.10922
0.712023,-0.008825,-0.860974,-0.057427,-0.20038,0.255345
0.407914,0.148457,-0.235953,0.200031,-0.196764,0.237477
-1.18023,0.41375,-0.706258,0.324035,0.000368536,0.182354
-0.613828,0.653766,-1.87137,0.207778,0.421913,0.0206656
2.77884,-0.956527,-3.13678,-0.274327,0.349991,-0.343711
-2.73069,-1.01714,1.35825,-0.11281,-0.835181,-0.168336
-1.87279,-0.684643,1.88926,0.27447,0.490183,0.0753511
0.996814,0.329349,0.227716,-0.0192642,0.250177,0.188475
-0.265106,0.0592275,0.370054,-0.136634,-0.0249101,-0.135545
-0.190202,-0.417393,0.287949,0.237889,0.396437,0.105409
0.766732,0.192833,0.251248,-0.164778,0.022837,-0.019717
2.55182,0.382279,-0.595921,-0.156221,0.208418,0.143472
3.20226,0.648002,-1.07387,-0.268893,-0.049775,0.0850111
-0.956568,0.59561,0.152432,-0.158076,-0.244308,0.197336
1.27565,1.46339,2.56451,0.318422,-0.121124,0.105485
2.85821,0.82221,2.49233,0.795064,-0.0813252,0.294514
-1.69717,-0.367979,0.404857,-0.152903,-0.158019,-0.0924218
-2.8223,-0.591716,0.25358,0.110017,-0.0855221,0.156577
-3.04173,-0.867083,0.289803,-0.137145,0.0996805,0.111757
0.154832,0.0507157,0.570411,-0.0905312,0.143672,-0.00693864
1.21742,0.453711,0.580324,-0.150885,0.129463,-0.0254849
-0.404579,0.340882,0.719225,0.00556922,0.225529,-0.0708943
0.16122,0.0667302,0.568194,0.427087,0.547966,-0.100355
3.30007,0.511156,-1.09826,0.0320285,0.255557,-0.0276617
2.08546,-0.621717,-1.34121,0.118663,0.012269,0.031902
-0.0845933,-0.866235,-1.61059,0.0556071,-0.154519,0.207088
-0.263197,-0.595457,-1.3897,0.0784844,-0.282881,0.272387
-0.355952,-0.185543,-0.367,0.356664,-0.359034,0.253634
-0.694873,0.260727,1.18129,0.254158,-0.247197,0.065423
1.54287,1.04441,1.31815,-0.0918909,-0.21612,-0.0969415
-1.78838,0.180476,1.85191,0.00130701,-0.138407,0.0603594
-1.19533,0.0407437,1.61357,-0.0593442,0.36536,-0.214326
-0.332749,0.0637136,0.461654,-0.175615,0.263943,-0.0890213
-1.32018,-0.000782917,-0.195512,0.0594136,0.381945,-0.0687507
-0.162407,-0.0336939,-0.79998,0.114456,0.552916,-0.0440117
2.61425,0.296616,-1.90825,0.315756,0.178507,0.165596
1.38914,-0.40565,-2.69787,0.141856,-0.303099,0.11493
-0.505889,-0.462187,-2.25158,0.103457,-0.466754,0.069656
-0.130557,-0.59674,-0.234208,0.0659943,-0.557595,0.0581756
-0.634308,-0.335288,2.45363,0.367559,-0.437115,0.110444
-0.812291,-0.745248,3.73028,0.314381,0.153334,-0.0323586
-0.232328,-0.0665417,1.76425,0.155325,0.101689,0.152454
-1.95811,-0.275587,0.592394,-0.0655615,0.347456,0.079985
0.187517,0.401352,0.124853,-0.291908,0.422599,-0.0241629
0.639355,0.630034,-0.241416,-0.109503,0.335606,-0.206931
1.30227,0.176868,-0.706114,0.17166,0.263296,-0.294709
-0.337602,-0.521786,-0.831663,0.468702,0.110825,-0.106933
0.512289,-0.451606,-1.25845,0.190946,0.0544544,0.208827
1.22771,-0.397097,-1.54247,0.0380302,0.0132839,0.191268
0.816288,0.0821016,-1.96381,0.101282,-0.240274,0.330284
0.186981,0.269026,-1.02181,-0.00112194,-0.386039,0.27864
0.336976,1.0704,1.00361,0.137982,-0.36431,0.109294
0.656269,1.06312,3.08192,0.590423,-0.146712,0.0551859
-0.0984349,0.646257,1.99625,-0.118731,0.109217,-0.24583
-0.151372,0.380098,0.651533,-0.0564603,0.145756,0.053618
0.0899329,0.678177,0.173978,-0.24453,0.351159,0.0322232
0.785549,1.05658,-0.59943,-0.196011,0.154834,-0.0249903
-0.129306,0.695773,-0.853737,0.0294453,0.0521275,-0.0743326
0.0406366,0.485707,-0.5686,0.362517,-0.0358906,0.00449049
1.18764,-0.0245969,0.0982365,0.11678,-0.276646,-0.151405
-0.382546,0.11234,0.148098,0.00587046,-0.111235,0.0383695
-0.623101,0.0877188,0.0137993,-0.104769,0.00811273,0.00941741
-0.928762,-0.146666,0.236412,-0.0369257,-0.118354,-0.112537
-0.519073,-0.247215,0.334758,-0.0668035,0.167686,-0.12926
-0.704572,-0.48283,0.517228,0.222607,0.514105,-0.0440658
2.53367,-0.674496,-1.39688,-0.314221,0.296243,-0.0727086
1.57692,-1.46072,-0.601513,0.227409,-0.652545,0.359024
-1.87724,-0.568678,-0.824304,-0.131221,-0.285027,0.0930489
-1.94305,-0.901472,-0.574511,-0.0192825,-0.194917,-0.165712
-0.22649,-0.670951,0.657,-0.122132,-0.183316,-0.03904
-0.985706,-0.580028,1.62158,-0.00578564,0.224669,0.218019
-0.97392,-0.029845,1.04857,0.102991,0.693082,0.199222
4.59691,1.02594,-0.589233,0.00108385,0.595389,0.300465
2.78511,-0.0134446,-1.99536,0.0912241,0.0763806,0.264149
-1.08569,-0.464111,-2.99204,0.268234,-0.0892213,0.350574
-0.26267,0.317069,-2.45232,0.141315,-0.260572,0.282761
1.39008,0.836221,-0.514536,0.261553,-0.45733,0.336361
1.96336,1.41094,1.57697,0.0950199,-0.258413,0.168184
3.05322,1.99001,1.50037,0.202867,-0.337039,0.197566
0.181868,1.48479,2.11153,0.228816,-0.117723,-0.0342534
1.67621,1.12294,1.69316,0.0252385,0.198134,-0.245572
1.38863,0.33983,0.89155,-0.0833191,0.220192,-0.277144
-0.58156,-0.5652,-0.107888,-0.110729,0.41953,-0.0623668
-0.152869,-0.436988,-1.12855,0.157609,0.823808,0.203785
2.45048,0.254872,-2.02827,0.158514,0.219685,0.629698
1.23848,0.629136,-2.32799,0.148398,-0.132791,0.504984
1.3751,0.923304,-1.42334,0.193783,-0.275568,0.421575
2.0979,1.06861,-0.481338,0.285057,-0.285257,0.378056
2.73274,1.16451,-0.34496,0.624587,-0.356685,0.268898
-0.131415,0.759642,1.4601,0.530699,-0.405997,0.129562
-0.497302,0.685836,2.46569,0.10499,-0.164745,-0.103089
-0.943789,0.0308307,2.16162,-0.069983,0.115097,-0.0620369
-0.798074,-0.183451,1.24682,-0.264991,0.349357,-0.0799189
0.069607,0.000276888,0.399464,-0.211733,0.467528,7.4625e-05
-0.1674,0.125547,-0.758296,0.179469,0.629619,0.153127
0.173739,0.766431,-1.85527,0.387747,0.595208,0.063689
3.23891,0.789927,-2.97543,0.353548,0.209452,0.168734
1.06364,-0.183401,-2.80418,0.148335,-0.341394,0.196769
1.18027,0.139378,-2.03975,0.0496452,-0.41885,0.227563
0.6813,0.378504,-0.509947,0.270459,-0.576361,0.341717
0.251519,0.553522,2.261,0.529977,-0.382325,0.288472
0.0623212,0.881289,3.91212,0.390687,-0.100452,0.130403
0.572173,0.762152,2.58779,0.240558,0.249254,-0.23376
-0.925356,0.199305,0.774815,-0.170784,0.151278,-0.0996723
-1.20177,-0.164685,0.198108,-0.348384,0.362123,-0.219594
-0.0598315,-0.16808,-0.0273094,-0.0356544,0.375315,-0.154818
-0.0147229,0.0731892,-0.701828,0.281761,0.554146,-0.00837678
1.30583,-0.0359233,-2.05204,0.208006,0.481118,-0.0333475
0.864325,-0.489041,-2.96641,0.274623,-0.0365002,0.222281
0.780922,-0.587324,-3.00669,0.0634766,-0.302352,0.207939
1.10408,-0.321046,-2.08834,0.0836397,-0.562641,0.186638
0.13518,0.376034,0.284018,0.346155,-0.503896,0.272009
-0.488504,1.22224,3.17596,0.591237,-0.293254,0.184852
-0.0343713,1.38555,3.9117,0.424815,0.0162536,-0.0393817
-0.687869,0.452883,2.33506,0.100618,0.179548,-0.0744433
-1.81004,-0.131966,0.930713,-0.20876,0.396535,-0.109163
-0.75339,-0.0817758,0.157582,-0.247652,0.476169,-0.105787
0.755297,-0.000564937,-0.396095,0.0408539,0.437004,-0.245716
0.115556,-0.321867,-1.15287,0.169248,0.184383,-0.0909433
-0.557362,-0.431848,-1.41858,0.21966,0.283129,0.0883729
1.85589,0.0818432,-1.66289,0.173337,0.17946,0.207236
0.631013,-0.295361,-2.2655,0.123853,-0.143709,0.287074
0.611738,-0.103128,-2.29887,-0.033759,-0.351102,0.0933755
1.28741,0.0729843,-0.866835,-0.00104511,-0.565822,0.11492
-0.244964,0.69716,1.72078,0.329709,-0.436003,0.141401
-1.67578,0.679287,3.70819,0.783181,-0.0222979,0.283615
0.0557518,0.708931,2.47295,0.164938,0.286261,-0.117081
-0.471253,0.353128,0.972112,-0.0596623,0.183327,-0.0310247
-1.37428,-0.139648,0.390689,-0.306896,0.426803,-0.13678
-0.0263906,0.0065505,-0.330688,-0.299744,0.37894,-0.159744
0.271346,-0.147516,-0.952547,0.108124,0.234004,-0.150409
-0.0625074,-0.0956544,-1.3719,0.197635,0.150819,-0.0844849
1.23563,0.0693233,-1.15014,0.129524,0.275536,-0.0289608
1.56057,-0.286458,-1.65948,0.154996,0.170572,0.204337
0.0946655,-0.763807,-2.82434,0.100247,-0.00205749,0.256997
-0.0262662,-0.462505,-2.22735,-0.0120592,-0.358323,0.148824
0.703608,0.358176,-0.519349,0.034283,-0.588542,0.16636
0.275813,1.17411,1.63523,0.23829,-0.377096,0.154359
0.398008,1.63415,3.31871,0.544414,-0.162057,0.205029
-0.306694,1.32866,3.63538,0.585924,0.342143,-0.370201
-0.297475,-0.0215435,1.20063,0.0200625,0.167925,-0.222769
-3.60274,-1.2405,-0.302872,-0.180479,0.313759,0.0535728
-2.17376,-0.732888,-1.39597,-0.331161,0.268518,0.0757682
0.164126,0.0414124,-1.08132,-0.168605,0.034436,0.00860244
1.27937,0.389139,-0.279132,0.00615346,-0.0859636,-0.165597
0.674938,0.440645,0.202278,0.0984006,-0.00131631,-0.206993
0.328554,-0.0130372,0.227428,0.22705,0.158635,-0.0559522
-0.4188,-0.229901,-0.716334,0.12262,0.175313,0.0223027
0.607219,-0.165412,-1.26744,0.138833,0.0573505,0.15849
-0.65214,-0.299012,-1.24351,0.00506067,-0.146414,0.266446
-0.200407,0.286098,-0.59065,-0.269267,-0.178287,0.101258
0.497838,0.816662,0.130796,-0.26041,-0.0691162,-0.0344523
0.946601,0.756567,0.167055,-0.00326252,0.079819,-0.0549917
0.279615,0.659129,0.357512,0.333861,0.0945373,-0.0860296
0.217707,0.74432,1.4006,0.474213,0.0239861,-0.0678482
0.706597,0.229683,0.526436,0.0156192,-0.15015,-0.0998723
-1.10086,-0.72891,0.731026,-0.100233,-0.126279,0.0368348
-1.01982,-0.54525,0.724795,-0.222612,0.0355597,-0.053812
0.257008,-0.0419996,0.738067,-0.326657,0.0739149,0.0204479
